,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,dependent_project_count,github_dependent_project_count,new_addition,updated_github_id,labels
10,doobie,tpolecat/doobie,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-04-03 09:20:17,2023-04-03 09:20:17,3218,72.0,330,68,1325.0,139.0,369.0,2041,2022-01-31 22:59:44,1.0.0-RC2,16.0,Functional JDBC layer for Scala.,159.0,24,True,1,,,,,,,,,
11,sangria,sangria-graphql/sangria,misc,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-04-03 07:22:55,2023-03-31 18:05:32,1932,99.0,204,61,540.0,47.0,401.0,1935,2023-03-09 16:07:42,3.5.3,77.0,Scala GraphQL implementation.,62.0,24,True,1,,,,,,,,,
12,Monocle,julien-truffaut/Monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2023-03-30 21:24:36,2023-03-30 21:07:22,2102,15.0,195,51,970.0,44.0,329.0,1571,2023-01-03 14:12:47,3.2.0,9.0,Optics library for Scala.,124.0,23,True,1,,,,,,,True,optics-dev/Monocle,
13,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2023-02-20 17:49:36,2023-02-19 16:51:47,1691,6.0,425,58,746.0,129.0,645.0,1559,2023-02-20 17:55:37,1.9.16,100.0,sbt Native Packager.,267.0,23,True,1,,,,,,,,,
14,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2023-03-30 15:00:59,2023-03-30 15:00:59,7658,96.0,207,43,1964.0,139.0,996.0,1026,2023-03-16 17:37:22,4.7.6,100.0,"Library to read, analyze, transform and generate Scala programs.",108.0,23,True,1,,,,,,,True,,
15,izumi,7mind/izumi,toolkits,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2023-04-03 15:23:03,2023-03-30 23:09:43,4251,196.0,55,22,1430.0,53.0,381.0,561,2023-03-29 12:07:54,1.1.0-M19,66.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,30.0,23,True,1,,,,,,,True,,
16,util,twitter/util,toolkits,https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2023-03-20 11:16:13,2023-02-23 02:17:48,3116,3.0,553,228,195.0,4.0,111.0,2608,2022-12-26 14:38:56,util-22.12.0,81.0,Wonderful reusable code from Twitter.,316.0,22,True,2,,,,,,,True,,
17,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2023-03-30 17:06:38,2023-03-30 17:06:38,3020,71.0,147,29,964.0,58.0,147.0,1607,2023-03-22 07:06:48,0.10.3,67.0,Refinement types for Scala.,75.0,22,True,2,,,,,,,True,,
18,Binding.scala,ThoughtWorksInc/Binding.scala,web-frameworks,https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2023-03-28 20:17:45,2023-03-09 15:38:49,1563,89.0,103,118,391.0,39.0,62.0,1572,2023-01-26 04:19:51,12.2.0,82.0,Reactive data-binding for Scala.,25.0,22,True,2,,,,,,,,,
19,skunk,tpolecat/skunk,db-clients,https://github.com/tpolecat/skunk,https://github.com/tpolecat/skunk,MIT,2018-09-21 06:46:41,2023-04-03 10:30:28,2023-03-28 14:55:15,1439,118.0,130,31,720.0,63.0,54.0,1436,2023-01-20 00:56:55,0.5.1,23.0,A data access library for Scala + Postgres.,60.0,22,True,1,,,,,,,,,
20,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-04-03 09:50:17,2023-03-31 06:30:25,3165,40.0,220,61,1448.0,27.0,448.0,1237,2021-10-31 01:07:09,4.0.0,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,103.0,22,True,1,,,org.scalikejdbc:scalikejdbc_2.13,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,,,,,
21,slick-pg,tminglei/slick-pg,db-clients,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2023-03-31 00:15:36,2023-03-27 02:06:35,1133,35.0,171,22,256.0,107.0,267.0,818,2022-12-08 23:15:05,0.21.1,88.0,Slick extensions for PostgreSQL.,91.0,22,True,1,,,,,,,,,
22,scalajs-react,japgolly/scalajs-react,web-frameworks,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2023-03-06 08:50:32,2022-06-24 03:27:25,3190,,228,67,552.0,23.0,507.0,1613,2022-04-26 04:07:04,2.1.1,65.0,Facebooks React on Scala.JS.,80.0,21,True,2,,,,,,,,,
23,framework,lift/framework,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2022-06-14 16:43:52,2021-10-08 15:18:07,3930,,270,106,530.0,143.0,1323.0,1264,2021-10-08 15:12:09,3.5.0-release,52.0,Lift Framework.,118.0,21,True,2,,,,,,,,,
24,tinylog,pmwmedia/tinylog,toolkits,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2023-04-03 12:56:43,2023-04-01 23:13:37,1137,34.0,75,14,208.0,17.0,203.0,585,2023-03-09 20:43:14,2.6.1,77.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",18.0,21,True,2,19351.0,191.0,,,2.0,2.0,True,tinylog-org/tinylog,
25,udash-core,UdashFramework/udash-core,web-frameworks,https://github.com/UdashFramework/udash-core,https://github.com/UdashFramework/udash-core,Apache-2.0,2016-02-25 09:35:23,2023-03-31 10:27:39,2023-03-28 15:07:18,3249,80.0,35,21,976.0,27.0,86.0,433,2023-03-20 16:09:29,0.9.0,16.0,Scala framework for building beautiful and maintainable web applications.,36.0,21,True,2,,,,,,,,,
26,mima,lightbend/mima,sbt,https://github.com/lightbend/mima,https://github.com/lightbend/mima,Apache-2.0,2012-05-24 14:08:57,2023-03-31 08:33:54,2023-03-31 08:33:53,1442,27.0,62,22,534.0,25.0,185.0,428,2023-03-29 14:01:18,1.1.2,31.0,A tool for catching binary incompatibility in Scala.,47.0,21,True,1,,,,,,,,,
27,scanamo,scanamo/scanamo,db-clients,https://github.com/scanamo/scanamo,https://github.com/scanamo/scanamo,Apache-2.0,2016-02-01 10:58:52,2023-04-01 20:43:01,2023-03-06 20:42:43,2048,10.0,118,37,1440.0,45.0,151.0,316,2022-11-02 11:53:51,1.0.0-M23,12.0,Simpler DynamoDB access for Scala.,78.0,21,True,2,,,,,,,,,
28,scalaz,scalaz/scalaz,toolkits,https://github.com/scalaz/scalaz,https://github.com/scalaz/scalaz,,2010-01-16 06:18:51,2023-04-03 18:15:00,2023-04-03 18:14:58,7232,33.0,688,213,1953.0,126.0,421.0,4610,,,,Principled Functional Programming in Scala.,247.0,20,False,2,,,,,,,True,,
29,sbt-assembly,sbt/sbt-assembly,sbt,https://github.com/sbt/sbt-assembly,https://github.com/sbt/sbt-assembly,MIT,2011-06-10 05:30:27,2023-02-12 06:13:17,2023-02-12 05:50:29,618,2.0,215,57,155.0,98.0,242.0,1893,2023-02-12 06:44:54,2.1.1,16.0,Deploy ber-JARs. Restart processes. (port of codahale/assembly-sbt).,78.0,20,True,1,,,,,,,,,
30,json4s,json4s/json4s,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2023-03-31 12:41:14,2023-03-31 06:30:06,1717,31.0,323,65,869.0,145.0,252.0,1444,,,,JSON library.,126.0,20,True,1,,,,,,,,,
31,spray-json,spray/spray-json,json,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331,,187,37,154.0,82.0,116.0,971,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",48.0,20,True,1,,,io.spray:spray-json_2.13,https://search.maven.org/artifact/io.spray/spray-json_2.13,143.0,143.0,,,
32,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2023-03-29 13:54:46,2023-03-22 13:00:18,403,47.0,69,21,159.0,36.0,97.0,957,2023-03-22 17:43:55,0.7.2,13.0,"Scala library for boilerplate-free, type-safe data transformations.",24.0,20,True,2,,,,,,,True,,
33,ReactiveMongo,ReactiveMongo/ReactiveMongo,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2023-04-02 14:44:50,2023-04-02 14:44:50,1318,14.0,224,56,828.0,14.0,363.0,838,2020-01-03 02:08:23,0.20.0,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",87.0,20,True,2,,,,,,,,,
34,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2023-04-03 14:57:46,2023-04-03 14:57:46,4232,143.0,75,20,741.0,50.0,219.0,638,2023-03-28 09:59:49,2.22.1,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,18.0,20,True,1,,,,,1.0,1.0,,,
35,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2023-03-29 05:27:27,2023-03-29 05:27:27,728,6.0,149,29,230.0,35.0,218.0,620,2023-02-10 11:14:07,2.0.7,35.0,sbt plugin for scoverage.,71.0,20,True,1,,,,,,,,,
36,zio-json,zio/zio-json,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2023-04-03 19:42:27,2023-03-31 06:17:32,533,49.0,108,23,782.0,60.0,79.0,376,2023-03-18 14:43:34,0.5.0,29.0,"Fast, secure JSON library with tight ZIO integration.",52.0,20,True,1,,,,,,,,,['zio']
37,sbt-microsites,47degrees/sbt-microsites,sbt,https://github.com/47degrees/sbt-microsites,https://github.com/47degrees/sbt-microsites,Apache-2.0,2016-09-05 23:33:02,2023-03-29 05:23:18,2023-03-29 05:23:16,1227,20.0,62,47,607.0,18.0,121.0,314,2023-03-28 17:15:43,1.4.3,78.0,An sbt plugin to create awesome microsites for your project.,71.0,20,True,1,,,,,,,,,
38,better-files,pathikrit/better-files,toolkits,https://github.com/pathikrit/better-files,https://github.com/pathikrit/better-files,MIT,2015-09-12 03:48:31,2023-03-30 20:49:32,2023-02-17 17:30:13,1085,93.0,142,37,391.0,34.0,176.0,1453,,,,"Simple, safe and intuitive Scala I/O.",60.0,19,True,2,,,,,,,True,,
39,colossus,tumblr/colossus,web-frameworks,https://github.com/tumblr/colossus,https://github.com/tumblr/colossus,Apache-2.0,2014-11-11 16:06:06,2021-08-14 08:40:07,2018-11-08 17:52:05,1325,,96,77,411.0,3.0,270.0,1150,2018-01-24 17:31:20,0.11.0,32.0,I/O and Microservice library for Scala.,28.0,19,False,2,,,,,,,,,
40,phantom,outworkers/phantom,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2021-08-16 22:07:29,2021-08-16 22:07:29,1120,,181,75,511.0,19.0,403.0,1046,2020-08-10 21:50:24,2.59.0,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",51.0,19,False,2,,,,,,,,,
41,skinny-framework,skinny-framework/skinny-framework,web-frameworks,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996,,69,46,287.0,20.0,134.0,737,2022-12-14 08:24:58,4.0.1,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,32.0,19,True,2,11839.0,111.0,,,,,,,
42,sbt-release,sbt/sbt-release,sbt,https://github.com/sbt/sbt-release,https://github.com/sbt/sbt-release,Apache-2.0,2011-10-15 19:00:45,2023-03-27 23:46:59,2023-03-27 23:46:58,508,10.0,155,28,198.0,71.0,98.0,623,2021-06-24 14:27:49,1.1.0,4.0,A release plugin for sbt.,64.0,19,True,2,,,,,,,,,
43,scribe,outr/scribe,toolkits,https://github.com/outr/scribe,https://github.com/outr/scribe,MIT,2016-01-26 15:49:14,2023-04-01 01:06:29,2023-03-29 19:13:26,1194,95.0,35,8,279.0,16.0,127.0,447,2023-02-22 17:32:15,3.11.1,34.0,The fastest logging library in the world. Built from scratch in Scala and programmatically configurable.,17.0,19,True,2,,,,,,,True,,
44,mdoc,scalameta/mdoc,sbt,https://github.com/scalameta/mdoc,https://github.com/scalameta/mdoc,Apache-2.0,2017-10-23 07:00:47,2023-04-01 17:56:30,2023-03-20 00:45:53,1233,36.0,68,11,571.0,46.0,143.0,360,2023-02-07 19:04:02,2.3.7,64.0,Typechecked markdown documentation for Scala.,43.0,19,True,2,,,,,,,,,
45,play-json,playframework/play-json,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-04-01 21:03:24,2023-04-01 21:03:24,1154,40.0,127,20,753.0,37.0,74.0,343,2023-01-24 07:38:59,2.9.4,12.0,The Play JSON library.,62.0,19,True,2,,,,,,,,,['play']
46,diffson,gnieh/diffson,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-04-01 11:30:54,2023-04-01 11:30:37,468,46.0,47,12,291.0,5.0,43.0,295,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,31.0,19,True,2,,,,,,,,,
47,Dsl.scala,ThoughtWorksInc/Dsl.scala,toolkits,https://github.com/ThoughtWorksInc/Dsl.scala,https://github.com/ThoughtWorksInc/Dsl.scala,Apache-2.0,2017-10-14 01:21:02,2023-03-28 20:18:28,2023-01-28 04:04:28,1750,63.0,29,29,636.0,6.0,18.0,255,2023-01-26 02:47:03,2.0.0,17.0,A framework to create embedded Domain-Specific Languages in Scala.,5.0,19,True,2,,,,,,,True,,
48,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2023-03-30 22:47:22,2023-03-30 22:47:22,3908,24.0,322,84,1073.0,62.0,367.0,2587,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",134.0,18,False,3,,,,,,,,,
49,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-03-24 15:35:00,2023-01-22 17:15:20,3340,2.0,335,69,1706.0,305.0,705.0,2112,,,,Compile-time Language Integrated Queries for Scala.,134.0,18,True,2,,,,,,,,,['zio']
50,async,scala/async,toolkits,https://github.com/scala/scala-async,https://github.com/scala/scala-async,Apache-2.0,2013-04-01 22:22:27,2023-02-16 05:38:23,2023-02-16 05:38:23,737,4.0,82,57,227.0,13.0,75.0,1137,2021-09-09 21:50:20,1.0.1,21.0,An asynchronous programming facility for Scala.,28.0,18,True,2,,,,,,,True,scala/scala-async,
51,quicklens,adamw/quicklens,toolkits,https://github.com/softwaremill/quicklens,https://github.com/softwaremill/quicklens,Apache-2.0,2015-02-28 12:32:34,2023-03-29 00:14:11,2023-03-29 00:13:35,391,18.0,46,46,111.0,20.0,22.0,758,2022-09-11 18:53:11,1.9.0,21.0,Modify deeply nested case class fields.,24.0,18,True,2,,,,,,,True,softwaremill/quicklens,
52,sbt-docker,marcuslonnberg/sbt-docker,sbt,https://github.com/marcuslonnberg/sbt-docker,https://github.com/marcuslonnberg/sbt-docker,MIT,2014-01-12 19:43:03,2023-03-06 13:38:47,2023-03-06 13:38:43,374,13.0,101,19,44.0,18.0,69.0,724,2023-03-06 13:38:15,1.10.0,8.0,Create Docker images directly from sbt.,26.0,18,True,2,,,,,,,,,
53,jackson-module-scala,FasterXML/jackson-module-scala,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2023-04-02 00:03:40,2023-03-29 07:46:16,1641,30.0,135,27,181.0,47.0,401.0,484,,,1.0,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,58.0,18,True,3,,,,,,,,,
54,laika,planet42/Laika,csv-yaml,https://github.com/planet42/Laika,https://github.com/planet42/Laika,Apache-2.0,2012-12-22 14:53:32,2023-04-01 20:40:50,2023-04-01 20:40:50,3546,28.0,39,11,157.0,12.0,195.0,365,2022-10-09 16:42:51,0.19.0,26.0,"Text Markup Transformer for sbt and Scala applications, transforming Markdown and reStructuredText to HTML, EPUB and..",16.0,18,True,1,,,,,,,True,,
55,sbt-sonatype,xerial/sbt-sonatype,sbt,https://github.com/xerial/sbt-sonatype,https://github.com/xerial/sbt-sonatype,Apache-2.0,2014-01-20 16:13:49,2023-03-28 20:11:02,2023-03-11 18:16:29,647,16.0,49,13,288.0,9.0,85.0,308,2023-03-09 22:19:35,3.9.18,5.0,A sbt plugin for publishing Scala/Java projects to the Maven central.,28.0,18,True,2,,,,,,,,,
56,each,ThoughtWorksInc/each,toolkits,https://github.com/ThoughtWorksInc/each,https://github.com/ThoughtWorksInc/each,Apache-2.0,2015-05-05 07:27:00,2023-03-28 20:19:36,2023-02-03 06:45:06,739,40.0,26,30,109.0,4.0,28.0,252,2023-02-03 06:24:22,3.3.2,3.0,A macro library that converts native imperative syntax to scalazs monadic expressions.,15.0,18,True,2,,,,,,,True,,
57,pulsar4s,CleverCloud/pulsar4s,db-clients,https://github.com/CleverCloud/pulsar4s,https://github.com/CleverCloud/pulsar4s,Apache-2.0,2018-01-04 06:29:12,2023-03-30 23:33:06,2023-01-08 02:27:21,711,11.0,39,12,451.0,19.0,40.0,215,2023-01-08 02:29:27,2.9.0,5.0,"Idiomatic, typesafe, and reactive Scala client for Apache Pulsar.",23.0,18,True,2,,,,,,,,,
58,zio-redis,zio/zio-redis,db-clients,https://github.com/zio/zio-redis,https://github.com/zio/zio-redis,Apache-2.0,2020-01-07 16:12:24,2023-04-03 13:12:33,2023-04-03 13:12:33,527,68.0,55,15,686.0,15.0,99.0,97,2023-03-28 12:22:41,0.2.0,2.0,A ZIO-based redis client.,34.0,18,True,2,,,,,,,,,['zio']
59,enumeratum,lloydmeta/enumeratum,toolkits,https://github.com/lloydmeta/enumeratum,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34,2023-03-25 04:13:11,2023-03-25 04:12:35,537,2.0,138,26,245.0,23.0,93.0,1146,2023-03-25 04:13:54,enumeratum-slick-1.7.3,70.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",86.0,17,True,3,,,,,,,True,,
60,cassovary,twitter/cassovary,toolkits,https://github.com/twitter/cassovary,https://github.com/twitter/cassovary,Apache-2.0,2012-02-21 23:22:30,2021-10-08 21:22:29,2021-10-08 21:22:23,503,,143,163,155.0,29.0,48.0,1026,2015-03-18 21:37:14,5.1.0,5.0,Cassovary is a simple big graph processing library for the JVM.,30.0,17,True,3,,,,,,,True,,
61,Scala-Logging,lightbend/Scala-Logging,toolkits,https://github.com/lightbend-labs/scala-logging,https://github.com/lightbend-labs/scala-logging,Apache-2.0,2013-07-16 20:24:15,2023-03-24 16:36:53,2023-01-31 19:25:37,321,3.0,128,28,268.0,26.0,95.0,888,2021-07-12 14:31:00,3.9.4,5.0,Convenient and performant logging library for Scala wrapping SLF4J.,45.0,17,True,3,,,,,,,True,lightbend-labs/scala-logging,
62,sbt-jmh,sbt/sbt-jmh,sbt,https://github.com/sbt/sbt-jmh,https://github.com/sbt/sbt-jmh,Apache-2.0,2014-05-19 18:39:03,2023-02-27 08:27:57,2023-02-27 08:27:57,277,5.0,85,28,123.0,27.0,68.0,754,2021-05-13 02:58:31,0.4.2,4.0,"Trust no one, bench everything. - sbt plugin for JMH (Java Microbenchmark Harness).",47.0,17,True,2,,,,,,,,,
63,sbt-updates,rtimush/sbt-updates,sbt,https://github.com/rtimush/sbt-updates,https://github.com/rtimush/sbt-updates,BSD-3-Clause,2012-10-07 17:20:50,2023-03-30 22:03:43,2023-03-10 19:15:21,582,6.0,50,22,270.0,11.0,66.0,726,2022-05-30 08:03:01,0.6.3,24.0,sbt plugin that can check Maven and Ivy repositories for dependency updates.,29.0,17,True,2,,,,,,,,,
64,sbt-eclipse,sbt/sbt-eclipse,sbt,https://github.com/sbt/sbt-eclipse,https://github.com/sbt/sbt-eclipse,Apache-2.0,2011-06-04 00:39:57,2023-01-09 22:19:00,2023-01-08 13:29:47,398,2.0,168,50,135.0,77.0,202.0,721,2022-09-23 14:15:14,6.0.0,2.0,Plugin for sbt to create Eclipse project definitions.,39.0,17,True,2,,,,,,,True,,
65,unfiltered,unfiltered/unfiltered,web-frameworks,https://github.com/unfiltered/unfiltered,https://github.com/unfiltered/unfiltered,MIT,2010-05-19 04:00:57,2023-04-03 18:12:04,2023-04-03 18:12:02,2800,19.0,106,26,824.0,41.0,146.0,707,,,,A toolkit for servicing HTTP requests in Scala.,87.0,17,True,3,,,,,,,,,
66,freestyle,frees-io/freestyle,toolkits,https://github.com/frees-io/freestyle,https://github.com/frees-io/freestyle,Apache-2.0,2016-10-19 22:31:44,2019-08-13 06:52:17,2019-08-13 06:52:16,526,,51,44,321.0,35.0,211.0,615,2018-06-07 10:17:38,0.8.2,24.0,A cohesive & pragmatic framework of FP centric Scala libraries.,43.0,17,False,3,,,,,,,True,,
67,squeryl,squeryl/squeryl,db-clients,https://github.com/squeryl/squeryl,https://github.com/squeryl/squeryl,Apache-2.0,2010-01-30 16:07:07,2023-03-30 22:08:57,2023-03-30 22:08:56,1057,57.0,129,29,301.0,23.0,112.0,577,,,,A Scala DSL for talking with databases with minimum verbosity and maximum type safety.,60.0,17,True,2,,,,,,,,,
68,korolev,fomkin/korolev,web-frameworks,https://github.com/fomkin/korolev,https://github.com/fomkin/korolev,Apache-2.0,2016-08-10 16:19:56,2023-01-23 17:30:58,2023-01-23 08:26:20,663,3.0,48,21,219.0,12.0,222.0,575,2022-08-16 08:04:00,1.5.0,35.0,Single Page Applications running on the server side.,25.0,17,True,3,,,,,,,,,
